jobTitleCanonical,totalAffected,facilityCount
Account Manager III,1,1
Account Rep I,13,5
Account Rep II,9,5
Account Rep III,7,3
"Acct Exec I 50, Ad Growth",3,1
"Acct Exec II 100, AdLrgSales",4,1
"Acct Exec II 50, Ad Growth",1,1
"Acct Exec III 100, AdLrgSales",13,1
Ad Sales Acct Mgr II 40,1,1
Ad Sales Acct Mgr III 40,2,1
Applied Scientist II,27,8
Applied Scientist III,10,4
Benefits Specialist III,1,1
Business Analyst I,4,3
Business Analyst II,8,5
Business Analyst III,7,6
Business Developer II,7,3
Business Developer III,9,4
Business Intel Engineer I,14,9
Business Intel Engineer II,30,12
Business Intel Engineer III,20,13
Construction Manager III,1,1
Contract Manager I,1,1
Contract Manager II,1,1
Contract Manager III,1,1
Corporate Developer III,1,1
Corporate Security II,1,1
Creative MKTG II,5,4
Creative MKTG III,8,4
Creative Services Spec II,1,1
Customer Success Manager I,3,2
Customer Success Manager II,4,1
Data Engineer I,8,6
Data Engineer II,21,11
Data Engineer III,12,8
Data Scientist I,2,2
Data Scientist II,9,5
Data Scientist III,5,4
Database Engineer II,3,1
Design Program Manager II,1,1
Design Program Manager III,3,2
Design Technologist I,1,1
Design Technologist II,1,1
Design Technologist III,3,2
Designer I,1,1
Designer II,5,5
Device Associate II,1,1
Digital Supply Chain Mgr II,2,1
Digital Supply Chain Mgr III,1,1
"Dir, System Development",1,1
"Director, Applied Science",1,1
"Director, BizTech Leader",1,1
"Director, Category Leadership",4,1
"Director, Corp Strat Procur",1,1
"Director, Creative Dev",1,1
"Director, Finance",1,1
"Director, General MKTG",1,1
"Director, Human Resources",3,2
"Director, Legal",4,2
"Director, Prod Mgmt - Tech",5,4
"Director, Product Management",3,2
"Director, Public Relations",2,1
"Director, Regional Operations",1,1
"Director, Retail Stores",1,1
"Director, Sales Operations",1,1
"Director, Software Development",5,5
"Director, Supply Chain MGMT",1,1
"Director, Tech Program Mgmt",1,1
"Director, UX/Design",1,1
Economist II,1,1
Economist III,2,2
Editor I,1,1
Editor II,1,1
Editor III,2,1
Executive Assistant I,7,4
Executive Assistant II,6,4
Executive Assistant III,1,1
Financial Analyst I,1,1
Financial Analyst II,22,7
