jobTitleCanonical,totalAffected,facilityCount,noticeCount
Software Dev Engineer II,344,26,2
Software Dev Engineer I,211,24,2
Software Dev Engineer III,107,22,2
Program Manager III,49,19,2
"Manager III, Software Dev",48,19,1
Program Manager II,48,21,2
Technical Program Manager III,41,19,2
"Sr Manager, Software Dev",40,17,2
Quality Assurance Engineer II,37,8,1
Product Mgr III - Tech,35,15,2
Tech Writer-Tech III,31,3,2
Business Intel Engineer II,30,12,2
Applied Scientist II,27,8,2
Product Manager III,26,12,1
Financial Analyst II,22,7,2
Financial Analyst III,22,9,2
Data Engineer II,21,11,1
Business Intel Engineer III,20,13,1
Tech Writer-Tech II,18,3,1
Technical Program Manager II,18,13,1
Sourcing Recruiter II,16,4,1
"Principal, Product Mgmt - Tech",15,8,1
Program Manager I,15,7,2
Business Intel Engineer I,14,9,2
Investigation Specialist II,14,1,1
