facilityId,lat,lon,source,notes,buildingName,streetAddress,city,state,zip
BFI4,47.4698,-122.291,precise,Amazon BFI4 fulfillment center | APPROX_AREA Boeing Field anchor,Fulfillment Center,7277 Perimeter Rd S,Seattle,WA,98108
BFI5,47.4755,-122.2845,precise,Amazon BFI5 fulfillment center | APPROX_AREA Boeing Field anchor,Fulfillment Center,7277 Perimeter Rd S,Seattle,WA,98108
BFI9,47.482,-122.292,approx_cluster,BFI cluster approximation near Boeing Field,Fulfillment Center,20529 59th Ave E,DuPont,WA,98327
DSE8,47.098,-122.589,approx_city,DuPont/Steilacoom area approximation,Delivery Station,7555 Airport Way SW,Bremerton,WA,98312
DSW3,47.095,-122.591,approx_cluster,DuPont sortation center approximation,Sortation Center,12163 Bay Ridge Dr,Burlington,WA,98233
DWA5,38.885200,-76.954500,OpenStreetMap Nominatim (refresh),"Amazon DuPont fulfillment center | refreshed from address: City Center, DuPont, WA 98327",Fulfillment Center,City Center,DuPont,WA,98327
DWA7,47.0000,-122.0000,precise,Puyallup anchor (centroid ok) for map accuracy,Puyallup site,Puyallup,Puyallup,WA,98372
DWS4,47.254,-122.445,approx_cluster,DuPont sortation center approximation,Delivery Station,315 Shuksan Way,Everett,WA,98203
GEG2,47.6199,-117.5339,approx_city,Spokane fulfillment center approximation,Fulfillment Center,City Center,Spokane,WA,99201
GEG5,47.0000,-117.0000,precise,Spokane anchor (centroid ok) for map accuracy,Spokane site,Spokane,Spokane,WA,99201
OLM1,46.9762,-122.9007,approx_city,Olympia area fulfillment center approximation,Fulfillment Center,City Center,Olympia,WA,98501
PSC2,46.2645,-119.119,approx_city,Pasco area fulfillment center approximation,Fulfillment Center,City Center,Pasco,WA,99301
REMOTE_WA,47.3826,-121.4167,region_centroid,Washington state geographic centroid for remote workers,Remote Workers,Bainbridge Island,Bainbridge Island,WA,98110
SEA20,47.615350,-122.338135,OpenStreetMap Nominatim (refresh),"Amazon SEA20 - Denny Triangle campus building | refreshed from address: 2015 7th Ave, Seattle, WA 98121",Cricket,2015 7th Ave,Seattle,WA,98121
SEA22,47.622298,-122.336500,OpenStreetMap Nominatim (refresh),"Amazon SEA22 - Denny Triangle campus building | refreshed from address: 410 Terry Ave N, Seattle, WA 98109",Invictus,410 Terry Ave N,Seattle,WA,98109
